comments,sentiment_keyword_json,sentiment,emotion
Sonic's personality here is portrayed better than the most recent games.,"{'usage': {'text_units': 1, 'text_characters': 72, 'features': 2}, 'sentiment': {'document': {'score': -0.278434, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.135696, 'joy': 0.432754, 'fear': 0.037876, 'disgust': 0.044264, 'anger': 0.173864}}}}",negative,joy
"Paramount: *Responsibly delays a movie to redesign a popular character everyone hated and successfully pleased them*

Universal: *Releases Cats*","{'usage': {'text_units': 1, 'text_characters': 144, 'features': 2}, 'sentiment': {'document': {'score': 0.725814, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.148903, 'joy': 0.03182, 'fear': 0.049224, 'disgust': 0.053981, 'anger': 0.189607}}}}",positive,anger
"Can y’all believe this was a year ago? Man, time is flyin’, bro.","{'usage': {'text_units': 1, 'text_characters': 64, 'features': 2}, 'sentiment': {'document': {'score': 0.549107, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.345125, 'joy': 0.520515, 'fear': 0.030145, 'disgust': 0.069053, 'anger': 0.070399}}}}",positive,joy
2019: Sanic the heegehog.                            2020: Sonic the hedgehog,"{'usage': {'text_units': 1, 'text_characters': 77, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.122275, 'joy': 0.145944, 'fear': 0.074634, 'disgust': 0.062379, 'anger': 0.066116}}}}",neutral,joy
2019: This movie is gonna suck.                      2020: What was I saying again?,"{'usage': {'text_units': 1, 'text_characters': 83, 'features': 2}, 'sentiment': {'document': {'score': -0.988713, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.341663, 'joy': 0.016315, 'fear': 0.258921, 'disgust': 0.094732, 'anger': 0.387348}}}}",negative,anger
"Paramount: Listens to fans after backlash


fans: *You can understand me?!*","{'usage': {'text_units': 1, 'text_characters': 75, 'features': 2}, 'sentiment': {'document': {'score': 0.586303, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.064528, 'joy': 0.56202, 'fear': 0.008673, 'disgust': 0.293097, 'anger': 0.054598}}}}",positive,joy
"Can we all admit that the moment we saw Sonic's new design for this movie trailer, we all fell in love with it? Because the design actually made Sonic look well made and handsome.","{'usage': {'text_units': 1, 'text_characters': 179, 'features': 2}, 'sentiment': {'document': {'score': 0.924253, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.027077, 'joy': 0.840429, 'fear': 0.062539, 'disgust': 0.058907, 'anger': 0.029716}}}}",positive,joy
Whos here after they confirmed a Sonic 2 on twitter?,"{'usage': {'text_units': 1, 'text_characters': 52, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.079244, 'joy': 0.090633, 'fear': 0.051813, 'disgust': 0.034336, 'anger': 0.014395}}}}",neutral,joy
Anyone else came back here after they announced the sonic movie 2 logo,"{'usage': {'text_units': 1, 'text_characters': 70, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.359942, 'joy': 0.41494, 'fear': 0.084081, 'disgust': 0.054892, 'anger': 0.101477}}}}",neutral,joy
Let’s not forget that this was the greatest character development of 2019,"{'usage': {'text_units': 1, 'text_characters': 73, 'features': 2}, 'sentiment': {'document': {'score': 0.897679, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.02337, 'joy': 0.524491, 'fear': 0.012738, 'disgust': 0.025646, 'anger': 0.017403}}}}",positive,joy
"Paramount: listens to fans


EA: hol up that’s illegal","{'usage': {'text_units': 1, 'text_characters': 54, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.140994, 'joy': 0.206844, 'fear': 0.019046, 'disgust': 0.343943, 'anger': 0.341448}}}}",neutral,disgust
Why is he wearing his normal shoes in these first scenes when he didn’t get them until later on in the movie?,"{'usage': {'text_units': 1, 'text_characters': 109, 'features': 2}, 'sentiment': {'document': {'score': -0.917863, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.160556, 'joy': 0.451371, 'fear': 0.111906, 'disgust': 0.224457, 'anger': 0.103636}}}}",negative,joy
"The internet: god sonic looks awful

Paramount: *TOGETHER WE CAN SHOW THE WORLD WHAT WE CAN DO*","{'usage': {'text_units': 1, 'text_characters': 95, 'features': 2}, 'sentiment': {'document': {'score': -0.877257, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.467971, 'joy': 0.143481, 'fear': 0.10383, 'disgust': 0.208067, 'anger': 0.295196}}}}",negative,sadness
I genuinely can't believe it's been a year since this came out,"{'usage': {'text_units': 1, 'text_characters': 62, 'features': 2}, 'sentiment': {'document': {'score': -0.550355, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.404422, 'joy': 0.22292, 'fear': 0.105345, 'disgust': 0.079353, 'anger': 0.103837}}}}",negative,sadness
"November 12, 2020. This trailer is now one year old. Congratulations Sonic! Let's see the next one soon.","{'usage': {'text_units': 1, 'text_characters': 104, 'features': 2}, 'sentiment': {'document': {'score': 0.981741, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.070375, 'joy': 0.614927, 'fear': 0.130994, 'disgust': 0.104604, 'anger': 0.037789}}}}",positive,joy
"Paramount: *Listens to fans*
Disney: *Wait that's illegal*","{'usage': {'text_units': 1, 'text_characters': 58, 'features': 2}, 'sentiment': {'document': {'score': 0.454552, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.139668, 'joy': 0.139844, 'fear': 0.008198, 'disgust': 0.272283, 'anger': 0.509779}}}}",positive,anger
